               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  61,              2.0018,                1.65,              2.1715,             0.80639,             0.63751,             0.72865,              0.3909,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.9939,              1.6815,              2.1699,             0.81006,             0.66327,             0.73869,             0.38187,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.9888,              1.6478,              2.1756,             0.78928,             0.69388,              0.7737,             0.39801,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.9597,              1.6429,              2.1972,             0.82968,             0.67105,             0.73448,             0.40125,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.9768,               1.658,              2.1602,             0.69979,             0.64223,             0.71083,             0.38351,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.9564,              1.5927,              2.1611,             0.77407,             0.70918,             0.75756,             0.40848,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.9462,              1.5869,              2.1248,             0.81687,             0.64796,             0.76408,             0.40921,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.9969,              1.6455,              2.1941,             0.82496,             0.66837,              0.7699,             0.40433,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.9057,              1.5748,               2.118,             0.79316,             0.69898,             0.74625,             0.39508,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.9388,              1.5768,              2.1115,             0.79314,             0.68367,             0.75326,             0.40704,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.9304,              1.5788,              2.1398,             0.81921,             0.64286,             0.74304,             0.39113,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,               1.886,              1.5235,              2.0782,             0.85458,             0.67857,             0.77437,             0.41461,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.8872,              1.5344,               2.059,              0.8562,              0.6683,             0.75718,             0.43117,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.8986,              1.5269,              2.0936,             0.82489,             0.69702,             0.76721,             0.41783,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.8692,              1.5445,              2.0794,             0.80142,             0.72067,             0.77616,             0.41694,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.8918,              1.5569,              2.1177,             0.86156,             0.71429,             0.79055,             0.44245,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.8818,              1.5409,               2.113,             0.86185,             0.70022,             0.79191,             0.43288,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.8614,               1.509,              2.0623,             0.84168,             0.69388,             0.76684,             0.40864,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.8841,              1.5034,              2.0494,             0.84112,             0.70918,             0.78961,             0.41697,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.8379,              1.4486,              2.0505,              0.8585,             0.65004,             0.75293,             0.41032,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.8545,              1.4528,              2.0224,             0.86096,             0.69507,             0.78562,              0.4329,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.8409,               1.496,              2.0415,             0.81545,              0.7214,             0.77929,             0.41804,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.8272,              1.4593,              2.0019,             0.85299,             0.71047,             0.78412,             0.43522,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.8412,              1.4947,              2.0681,             0.81483,             0.69597,             0.76912,              0.4258,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.8443,              1.4498,              2.0786,             0.84266,             0.71047,             0.79165,             0.44481,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.7716,              1.4044,               2.003,             0.86085,             0.69438,             0.78819,             0.43025,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.8178,              1.4775,              2.0572,             0.85357,             0.69898,             0.77456,             0.43662,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.7721,              1.3863,              1.9881,             0.85308,             0.71429,             0.79549,             0.44723,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
